parameter,symbol,value,source
Proportion of body as carbon,$C_i^b$,0.1048,\cite{jelmert1996whaling}
Productivity stimulation\\(g Phytoplankton / T whale biomass),$C_i^p$,8.28,\cite{savoca2021baleen}
Proportion of dead whales sinking,$C_i^s$,0.5,\cite{jelmert1996whaling}
Discount rate,$\rho$,2.5%%,\cite{interagency2021technical}
